"0","Too design","7930.75","true"
"1","Although skill me movement","6494.03","true"
"2","Modern determine","3196.49","false"
"3","Author vote Republican","2856.91","true"
"4","Pass federal church strong","5020.38","false"
"5","Draw ten reflect including","2741.51","false"
"6","Collection among professor","1069.37","true"
"7","Career wall relationship no","3924.47","false"
"8","Direction campaign Congress push","9094.78","true"
"9","Out I","1516.25","false"
"10","Local sing money","2533.33","false"
"11","Still fire","1389.62","true"
"12","World visit which","7976.41","true"
"13","Culture protect","515.10","false"
"14","Debate front free","8333.71","false"
"15","Court hot audience machine admit","3730.00","true"
"16","Final might before","6939.50","true"
"17","Two back","2118.63","true"
"18","Day fly","1404.96","false"
"19","Name sound still for best","6080.98","false"
"20","Establish process","1051.51","false"
"21","Line go","3544.31","true"
"22","Standard past stage reach story","2752.27","false"
"23","Record produce cause","4916.57","false"
"24","Practice century go east","804.32","true"
"25","Already employee grow ok physical","6654.34","false"
"26","Game good fish money","5480.84","false"
"27","Another everything those","3062.79","false"
"28","Treatment early wait","900.19","false"
"29","Trouble image wind","4823.02","false"
"30","Nor range","8998.90","false"
"31","Development section medical effect mention","5659.90","true"
"32","Enough each technology hot tax","6705.41","false"
"33","Identify stand positive record","5066.10","false"
"34","Treatment challenge vote maintain","1864.32","true"
"35","Brother foot administration","8818.00","true"
"36","Loss our hold discuss","1334.00","false"
"37","Note quite term try wait","529.73","false"
"38","Leave provide story","5282.16","false"
"39","Design institution","1556.11","false"
"40","Front relate","7533.14","true"
"41","Bill situation war","9270.47","true"
"42","Economic voice trial push simply","3703.64","true"
"43","Somebody bad top","8357.30","true"
"44","Generation set onto figure common","3951.02","false"
"45","Plan your participant sit I","2783.76","false"
"46","Meet many decade gun see","7335.32","true"
"47","Value team","8516.33","true"
"48","Over road","6143.71","false"
"49","Statement number PM main","2523.25","true"
"50","Home employee month fund","2798.42","true"
"51","Rock before training","7042.13","false"
"52","Center hope executive weight group","3158.72","true"
"53","Create behavior","4127.32","false"
"54","Into data miss","7950.23","false"
"55","List newspaper up","8730.97","true"
"56","Clearly relate fire","8654.50","false"
"57","Opportunity fish","3117.33","true"
"58","Collection sure simple between say","4171.68","false"
"59","Carry minute parent money","7018.48","false"
"60","Kind probably sound policy","6825.58","true"
"61","Marriage kid several","3330.90","true"
"62","Strategy physical campaign store middle","9624.56","true"
"63","News like today","1232.79","false"
"64","Matter some man","7490.05","false"
"65","Amount national war sense","9998.67","false"
"66","Institution name perform themselves","1678.11","true"
"67","Democratic political population","9302.22","false"
"68","During because share","715.23","false"
"69","Listen certain thus hair","2520.39","true"
